numero,nome,cor_chaveiro,disponivel
136,CASA DE MÁQUINAS 10,Verde,True
137,SALA DE QUADROS 20,Verde,True
138,FLOREIRA 12,Verde,True
139,CASA DE MÁQUINAS 11,Verde,True
140,SALA DE QUADROS 22,Verde,True
141,LIVRE,Vermelho,True
142,LIVRE,Vermelho,True
143,LIVRE,Vermelho,True
144,LIVRE,Vermelho,True
145,LIVRE,Vermelho,True
146,LIVRE,Vermelho,True
147,LIVRE,Vermelho,True
148,LIVRE,Vermelho,True
149,LIVRE,Vermelho,True
150,LIVRE,Vermelho,True
151,LIVRE,Vermelho,True
152,LIVRE,Vermelho,True
153,LIVRE,Vermelho,True
154,LIVRE,Vermelho,True
155,LIVRE,Vermelho,True
156,LIVRE,Vermelho,True
157,LIVRE,Vermelho,True
158,LIVRE,Vermelho,True
159,LIVRE,Vermelho,True
160,LIVRE,Vermelho,True
161,LIVRE,Vermelho,True
162,LIVRE,Vermelho,True
163,LIVRE,Vermelho,True
164,LIVRE,Vermelho,True
165,LIVRE,Vermelho,True
166,LIVRE,Vermelho,True
167,LIVRE,Vermelho,True
168,LIVRE,Vermelho,True
169,LIVRE,Vermelho,True
170,LIVRE,Vermelho,True
171,LIVRE,Vermelho,True
172,LIVRE,Vermelho,True
173,LIVRE,Vermelho,True
174,LIVRE,Vermelho,True
175,LIVRE,Vermelho,True
176,LIVRE,Vermelho,True
177,LIVRE,Vermelho,True
178,LIVRE,Vermelho,True
179,LIVRE,Vermelho,True
180,LIVRE,Vermelho,True
181,LIVRE,Vermelho,True
182,LIVRE,Vermelho,True
183,LIVRE,Vermelho,True
184,LIVRE,Vermelho,True
185,LIVRE,Vermelho,True
186,LIVRE,Vermelho,True
187,LIVRE,Vermelho,True
188,LIVRE,Vermelho,True
189,LIVRE,Vermelho,True
190,LIVRE,Vermelho,True
191,LIVRE,Vermelho,True
192,LIVRE,Vermelho,True
193,LIVRE,Vermelho,True
194,LIVRE,Vermelho,True
195,LIVRE,Vermelho,True
196,LIVRE,Vermelho,True
197,LIVRE,Vermelho,True
198,LIVRE,Vermelho,True
199,LIVRE,Vermelho,True
200,LIVRE,Vermelho,True
201,PORTA CORTA FOGO SS2,Branco,True
202,PORTA CORTA FOGO SS2,Branco,True
203,PORTA CORTA FOGO SS2,Branco,True
204,PORTA CORTA FOGO SS2,Branco,True
205,PORTA CORTA FOGO SS2,Branco,True
206,PORTA CORTA FOGO SS2,Branco,True
207,PORTA CORTA FOGO SS1,Branco,True
208,PORTA CORTA FOGO SS1,Branco,True
209,PORTA CORTA FOGO SS1,Branco,True
210,PORTA CORTA FOGO SS1,Branco,True
211,PORTA CORTA FOGO SS1,Branco,True
212,PORTA CORTA FOGO SS1,Branco,True
213,PORTA CORTA FOGO SS1,Branco,True
214,PORTA CORTA FOGO SS1,Branco,True
215,PORTA CORTA FOGO SS1,Branco,True
216,PORTA CORTA FOGO SS1,Branco,True
217,PORTA CORTA FOGO SS1,Branco,True
218,PORTA CORTA FOGO SS1,Branco,True
219,PORTA CORTA FOGO SS1,Branco,True
220,PORTA CORTA FOGO SS1,Branco,True
221,PORTA CORTA FOGO SS1,Branco,True
